=== Run information ===

Evaluator:    weka.attributeSelection.GainRatioAttributeEval 
Search:       weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1
Relation:     comment-move-1
Instances:    2000
Attributes:   1633
              [list of attributes omitted]
Evaluation mode:    evaluate on all training data



=== Attribute Selection on all input data ===

Search Method:
	Attribute ranking.

Attribute Evaluator (supervised, Class (nominal): 1633 class):
	Gain Ratio feature evaluator

Ranked attributes:
 0              5 count(_percent__cal)
 0            717 count(good_.)
 0            716 count(good)
 0              2 count(!)
 0              3 count(_quote_)
 0              4 count(_percent_)
 0            707 count(get_some)
 0             13 count(_comma__a_/)
 0             14 count(_comma__and)
 0            704 count(get)
 0            697 count(gain)
 0             17 count(_comma__but)
 0            695 count(g)
 0            694 count(future)
 0            693 count(full)
 0             16 count(_comma__black)
 0            698 count(game)
 0            699 count(game_!)
 0             15 count(_comma__b)
 0            703 count(game_with)
 0            702 count(game_be_over)
 0            700 count(game_.)
 0            701 count(game_be)
 0            665 count(for_a)
 0             41 count(._now)
 0             70 count(<_<_.)
 0             61 count(2004)
 0            627 count(exchange_.)
 0            626 count(exchange)
 0             62 count(9.)
 0            625 count(excellent)
 0             63 count(:)
 0            628 count(exploit)
 0            629 count(extra)
 0             58 count(1999)
 0            630 count(extra_p.)
 0            634 count(f)
 0            633 count(extremely)
 0            632 count(extra_pawn_.)
 0            631 count(extra_pawn)
 0             60 count(2001)
 0             64 count(;)
 0            622 count(everything_be)
 0            621 count(everything)
 0            620 count(eventually)
 0            613 count(equalization)
 0            612 count(equality_.)
 0             69 count(<_<)
 0            610 count(equal_chance_.)
 0            609 count(equal_chance)
 0            614 count(equalize)
 0            615 count(equalize_.)
 0             68 count(<_.)
 0             65 count(<)
 0            619 count(even)
 0             66 count(<_-)
 0             67 count(<_-_>)
 0            617 count(escape)
 0             59 count(2000)
 0            635 count(f4)
 0            662 count(follow)
 0            657 count(fire)
 0            656 count(finish_the)
 0            655 count(finish)
 0            654 count(fine_.)
 0             48 count(/_manila)
 0            652 count(find)
 0             47 count(/_^_.)
 0             46 count(/_^)
 0            636 count(f5)
 0            658 count(first)
 0             42 count(..)
 0            661 count(flexible)
 0             43 count(...)
 0            660 count(flank)
 0            659 count(first_.)
 0             49 count(/_monte)
 0            651 count(finally)
 0            650 count(final)
 0             50 count(/_monte_carlo)
 0            641 count(fall_.)
 0             55 count(1992)
 0             56 count(1993)
 0             57 count(1998)
 0            637 count(face)
 0             54 count(1991)
 0             53 count(1990)
 0             52 count(/_new_york)
 0            647 count(fight_.)
 0             51 count(/_new)
